GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
athlete-results-pg,com.example.athleteresults,WebConfig.new WebMvcConfigurer() {...},0,52,0,0,0,6,0,2,0,2
athlete-results-pg,com.example.athleteresults,WebConfig,0,8,0,0,0,2,0,2,0,2
athlete-results-pg,com.example.athleteresults.controllers,AuthController,252,0,15,0,60,0,15,0,7,0
athlete-results-pg,com.example.athleteresults.controllers,AuthController.RegistrationRequest,0,31,0,0,0,9,0,9,0,9
athlete-results-pg,com.example.athleteresults.controllers,AthleteController,625,0,62,0,103,0,51,0,20,0
athlete-results-pg,com.example.athleteresults.controllers,WeightMetricController,0,33,0,2,0,9,0,5,0,4
athlete-results-pg,com.example.athleteresults.controllers,PlyoMetricController,0,33,0,2,0,9,0,5,0,4
athlete-results-pg,com.example.athleteresults.controllers,PlanController.ActualOnly,0,6,0,0,0,1,0,1,0,1
athlete-results-pg,com.example.athleteresults.controllers,GymSessionController,174,0,36,0,29,0,30,0,12,0
athlete-results-pg,com.example.athleteresults.controllers,PlanController.PlanRequest,0,21,0,0,0,1,0,1,0,1
athlete-results-pg,com.example.athleteresults.controllers,PlanController,390,0,14,0,85,0,30,0,23,0
athlete-results-pg,com.example.athleteresults.controllers,ResultController,322,0,28,0,51,0,28,0,14,0
athlete-results-pg,com.example.athleteresults.controllers,ReflexMetricController,0,33,0,2,0,9,0,5,0,4
athlete-results-pg,com.example.athleteresults.controllers,SessionController,0,138,2,10,0,30,2,12,0,8
athlete-results-pg,com.example.athleteresults.controllers,ThrowResultController,330,0,36,0,59,0,32,0,14,0
athlete-results-pg,com.example.athleteresults.controllers,PlanController.SendPlanRequest,0,18,0,0,0,1,0,1,0,1
athlete-results-pg,com.example.athleteresults.controllers,PlanController.PlanDTO,4,72,4,4,0,11,4,2,0,2
athlete-results-pg,com.example.athleteresults.controllers,CoachController,1116,0,62,0,191,0,64,0,33,0
athlete-results-pg,com.example.athleteresults.controllers,JumpResultController,271,0,22,0,49,0,25,0,14,0
athlete-results-pg,com.example.athleteresults.controllers,UserController,455,0,36,0,85,0,41,0,23,0
athlete-results-pg,com.example.athleteresults.controllers,CoachAthleteRelationController,348,0,10,0,60,0,25,0,20,0
athlete-results-pg,com.example.athleteresults.services,PlanService,5,59,0,4,1,15,1,9,1,7
athlete-results-pg,com.example.athleteresults.services,CustomUserDetailsService,0,21,0,0,0,5,0,3,0,3
